wkt_geom	typ_budynku
MultiPolygon (((204216.16000000014901161 627994.40000000037252903, 204206.5 627984.52999999932944775, 204206.53000000026077032 627982.91000000014901161, 204204.41999999992549419 627980.88000000081956387, 204194.62000000011175871 627990.33999999985098839, 204209.90000000037252903 628006.07000000029802322, 204219.74000000022351742 627996.51999999955296516, 204217.57000000029802322 627994.34999999962747097, 204216.16000000014901161 627994.40000000037252903)))	mieszkalne
MultiPolygon (((204134.62999999988824129 627995.11999999918043613, 204134.37999999988824129 627990.53999999910593033, 204139.01999999955296516 627986.08999999985098839, 204139.01999999955296516 627983.30000000074505806, 204136.07000000029802322 627980.28999999910593033, 204131.79999999981373549 627984.5, 204128.16999999992549419 627988.11999999918043613, 204128.66000000014901161 627995.55000000074505806, 204134.62999999988824129 627995.11999999918043613)))	mieszkalne
MultiPolygon (((204119.44000000040978193 628046.16000000014901161, 204102.5 628040.96000000089406967, 204101.91999999992549419 628041.14000000059604645, 204101.53000000026077032 628042.25999999977648258, 204100.32000000029802322 628041.89000000059604645, 204097.87999999988824129 628042.98000000044703484, 204096.91000000014901161 628046.16999999992549419, 204117.66000000014901161 628052.35999999940395355, 204119.44000000040978193 628046.16000000014901161)))	mieszkalne
MultiPolygon (((204125.74000000022351742 628009.05000000074505806, 204122.79999999981373549 628008.36999999918043613, 204119.2900000000372529 628007.55000000074505806, 204115.29999999981373549 628006.64000000059604645, 204108.87999999988824129 628005.15000000037252903, 204107.55999999959021807 628009.64000000059604645, 204107.80999999959021807 628011.07000000029802322, 204126.91999999992549419 628015.98000000044703484, 204126.83999999985098839 628016.5, 204127.92999999970197678 628016.75999999977648258, 204129.49000000022351742 628009.91999999992549419, 204125.74000000022351742 628009.05000000074505806)))	mieszkalne
MultiPolygon (((204242.12999999988824129 628020.84999999962747097, 204238.63999999966472387 628017.28999999910593033, 204239.11000000033527613 628016.92999999970197678, 204238.54999999981373549 628016.34999999962747097, 204238.16999999992549419 628016.73000000044703484, 204233.76999999955296516 628012.22000000067055225, 204224.57000000029802322 628021.19999999925494194, 204235.84999999962747097 628032.80000000074505806, 204245.03000000026077032 628023.82000000029802322, 204242.12999999988824129 628020.84999999962747097)))	mieszkalne
MultiPolygon (((204123.53000000026077032 628032.17999999970197678, 204103.16000000014901161 628025.28999999910593033, 204102.03000000026077032 628029.19999999925494194, 204103.33999999985098839 628031.18999999947845936, 204104.62000000011175871 628031.51999999955296516, 204104.2099999999627471 628033.00999999977648258, 204121.74000000022351742 628038.41000000014901161, 204123.53000000026077032 628032.17999999970197678)))	mieszkalne
MultiPolygon (((204581.48000000044703484 627721.08000000007450581, 204579.0400000000372529 627714.89000000059604645, 204560.98000000044703484 627721.31000000052154064, 204560.20000000018626451 627729.10999999940395355, 204559.96999999973922968 627731.42999999970197678, 204566.62999999988824129 627729.02999999932944775, 204565.83000000007450581 627726.61999999918043613, 204581.48000000044703484 627721.08000000007450581)))	mieszkalne
MultiPolygon (((204421.41000000014901161 628017.83000000007450581, 204419.30999999959021807 628006.72000000067055225, 204409.2099999999627471 628008.58999999985098839, 204411.30999999959021807 628019.71000000089406967, 204421.41000000014901161 628017.83000000007450581)))	mieszkalne
MultiPolygon (((204412.03000000026077032 628144.46000000089406967, 204411.76999999955296516 628139.40000000037252903, 204411.51999999955296516 628134.51999999955296516, 204405.74000000022351742 628135.08999999985098839, 204405.99000000022351742 628139.77999999932944775, 204406.24000000022351742 628139.91999999992549419, 204405.55999999959021807 628141.06000000052154064, 204402.70000000018626451 628141.58000000007450581, 204402.65000000037252903 628141.38000000081956387, 204398.79999999981373549 628142.34999999962747097, 204398.84999999962747097 628142.56000000052154064, 204394.99000000022351742 628143.46000000089406967, 204392.12000000011175871 628143.71000000089406967, 204390.96999999973922968 628154.63000000081956387, 204408.82000000029802322 628151.48000000044703484, 204409.25999999977648258 628150.93999999947845936, 204412.33000000007450581 628150.43999999947845936, 204412.28000000026077032 628149.46000000089406967, 204412.03000000026077032 628144.46000000089406967)))	mieszkalne
MultiPolygon (((204283.61000000033527613 627968.30000000074505806, 204267.83000000007450581 627959.48000000044703484, 204264.25 627955.91999999992549419, 204257.20000000018626451 627960.65000000037252903, 204263.36000000033527613 627964.13000000081956387, 204280.82000000029802322 627973.98000000044703484, 204283.61000000033527613 627968.30000000074505806)))	mieszkalne
MultiPolygon (((204117.66000000014901161 628052.35999999940395355, 204096.91000000014901161 628046.16999999992549419, 204096.16000000014901161 628049.11999999918043613, 204097.16999999992549419 628051.07000000029802322, 204098.50999999977648258 628051.57000000029802322, 204098.15000000037252903 628052.69999999925494194, 204098.46999999973922968 628053.22000000067055225, 204114.75999999977648258 628058.26999999955296516, 204114.61000000033527613 628058.68999999947845936, 204115.75 628059.10999999940395355, 204117.66000000014901161 628052.35999999940395355)))	mieszkalne
MultiPolygon (((204216.32000000029802322 628041.19999999925494194, 204199.12000000011175871 628023.46000000089406967, 204189.96999999973922968 628032.57000000029802322, 204189.54999999981373549 628032.99000000022351742, 204206.46999999973922968 628050.68999999947845936, 204216.32000000029802322 628041.19999999925494194)))	mieszkalne
MultiPolygon (((204110.57000000029802322 628075.27999999932944775, 204111.04999999981373549 628074.48000000044703484, 204111.62999999988824129 628072.51999999955296516, 204091.73000000044703484 628066.57000000029802322, 204090.21999999973922968 628071.58000000007450581, 204092.20000000018626451 628072.10999999940395355, 204091.74000000022351742 628073.16999999992549419, 204106.23000000044703484 628077.68999999947845936, 204108.33999999985098839 628079.09999999962747097, 204110.57000000029802322 628075.27999999932944775)))	mieszkalne
MultiPolygon (((204199.12000000011175871 628023.46000000089406967, 204182.29999999981373549 628006.24000000022351742, 204173.19000000040978193 628015.72000000067055225, 204189.96999999973922968 628032.57000000029802322, 204199.12000000011175871 628023.46000000089406967)))	mieszkalne
MultiPolygon (((204195.34999999962747097 628061.5, 204178.78000000026077032 628043.97000000067055225, 204170.96999999973922968 628051.83999999985098839, 204187.65000000037252903 628069, 204195.34999999962747097 628061.5)))	mieszkalne
MultiPolygon (((204178.88999999966472387 628043.52999999932944775, 204161.9599999999627471 628026.38000000081956387, 204153.87999999988824129 628034.05000000074505806, 204160.32000000029802322 628040.46000000089406967, 204159.30999999959021807 628041.48000000044703484, 204165.88999999966472387 628048.19999999925494194, 204166.94000000040978193 628047.16000000014901161, 204170.86000000033527613 628051.13000000081956387, 204178.88999999966472387 628043.52999999932944775)))	mieszkalne
MultiPolygon (((204182.29999999981373549 628006.24000000022351742, 204164.61000000033527613 627988.05000000074505806, 204153.88999999966472387 627998.46000000089406967, 204156.69000000040978193 628001.30000000074505806, 204158.62000000011175871 628001.33000000007450581, 204168.90000000037252903 628011.75, 204168.79999999981373549 628013.74000000022351742, 204171.90000000037252903 628016.92999999970197678, 204173.19000000040978193 628015.72000000067055225, 204182.29999999981373549 628006.24000000022351742)))	mieszkalne
MultiPolygon (((204178.58999999985098839 627950.77999999932944775, 204185.0400000000372529 627944.41000000014901161, 204185.73000000044703484 627942.41999999992549419, 204180.07000000029802322 627940.58000000007450581, 204173.76999999955296516 627946.81000000052154064, 204172.71999999973922968 627947.82000000029802322, 204176.0400000000372529 627950.27999999932944775, 204177.16000000014901161 627950.61999999918043613, 204177.7900000000372529 627950.05000000074505806, 204178.58999999985098839 627950.77999999932944775)))	mieszkalne
MultiPolygon (((204164.61000000033527613 627988.05000000074505806, 204146.84999999962747097 627969.68999999947845936, 204136.87999999988824129 627979.48000000044703484, 204136.07000000029802322 627980.28999999910593033, 204139.01999999955296516 627983.30000000074505806, 204141.12000000011175871 627982.93999999947845936, 204151.08999999985098839 627993.24000000022351742, 204150.9599999999627471 627995.5, 204153.88999999966472387 627998.46000000089406967, 204164.61000000033527613 627988.05000000074505806)))	mieszkalne
MultiPolygon (((204180.07000000029802322 627940.58000000007450581, 204178.83999999985098839 627931.72000000067055225, 204175.21999999973922968 627932.22000000067055225, 204173.50999999977648258 627934.19999999925494194, 204173.98000000044703484 627937.66000000014901161, 204173.33999999985098839 627939.44999999925494194, 204170.96999999973922968 627941.75, 204170.91000000014901161 627944.35999999940395355, 204173.76999999955296516 627946.81000000052154064, 204180.07000000029802322 627940.58000000007450581)))	mieszkalne
MultiPolygon (((204190.05999999959021807 627964.28999999910593033, 204205.9599999999627471 627948.61999999918043613, 204197.04999999981373549 627945.85999999940395355, 204196.49000000022351742 627945.68999999947845936, 204195.2900000000372529 627948.48000000044703484, 204192.86000000033527613 627950.98000000044703484, 204193.75999999977648258 627951.86999999918043613, 204187.25999999977648258 627958.31000000052154064, 204187.80999999959021807 627958.90000000037252903, 204186.63999999966472387 627960.08000000007450581, 204186.83999999985098839 627961.83000000007450581, 204189.59999999962747097 627964.73000000044703484, 204190.05999999959021807 627964.28999999910593033)))	mieszkalne
MultiPolygon (((204260.23000000044703484 628008.91000000014901161, 204258.65000000037252903 627995.65000000037252903, 204255.88999999966472387 627996.00999999977648258, 204253.13999999966472387 627993.40000000037252903, 204245.54999999981373549 628000.72000000067055225, 204246.25999999977648258 628001.5, 204246.36000000033527613 628001.41999999992549419, 204251.15000000037252903 628006.26999999955296516, 204250.95000000018626451 628009.49000000022351742, 204243.12999999988824129 628017.32000000029802322, 204243.96999999973922968 628018.23000000044703484, 204243.07000000029802322 628019.09999999962747097, 204243.36000000033527613 628020.43999999947845936, 204245.82000000029802322 628023.02999999932944775, 204251.37000000011175871 628017.58999999985098839, 204255.12999999988824129 628013.90000000037252903, 204257.91000000014901161 628011.19999999925494194, 204260.23000000044703484 628008.91000000014901161)))	mieszkalne
MultiPolygon (((204235.59999999962747097 627974.47000000067055225, 204226.75 627965.25, 204226.74000000022351742 627963.89000000059604645, 204228.23000000044703484 627962.53999999910593033, 204230.09999999962747097 627964.41999999992549419, 204236.75 627957.71000000089406967, 204230.36000000033527613 627955.96000000089406967, 204205.36000000033527613 627979.97000000067055225, 204204.41999999992549419 627980.88000000081956387, 204206.53000000026077032 627982.91000000014901161, 204209.19000000040978193 627982.90000000037252903, 204209.99000000022351742 627982.31000000052154064, 204210.87000000011175871 627983.19999999925494194, 204218.07000000029802322 627976.14000000059604645, 204216.5 627974.58000000007450581, 204217.69000000040978193 627973.5, 204219.51999999955296516 627973.55000000074505806, 204227.33000000007450581 627981.64000000059604645, 204227.29999999981373549 627983.40000000037252903, 204226.16999999992549419 627984.57000000029802322, 204224.53000000026077032 627982.94999999925494194, 204217.26999999955296516 627990.14000000059604645, 204218.12999999988824129 627991.08999999985098839, 204217.37000000011175871 627991.80000000074505806, 204217.57000000029802322 627994.34999999962747097, 204219.74000000022351742 627996.51999999955296516, 204220.34999999962747097 627995.90000000037252903, 204254.28000000026077032 627962.93999999947845936, 204247.61000000033527613 627960.93999999947845936, 204246.62000000011175871 627960.60999999940395355, 204245.25999999977648258 627963.21000000089406967, 204237.59999999962747097 627970.64000000059604645, 204237.95000000018626451 627971.18999999947845936, 204237.03000000026077032 627971.93999999947845936, 204236.95000000018626451 627974.34999999962747097, 204235.59999999962747097 627974.47000000067055225)))	mieszkalne
MultiPolygon (((204205.36000000033527613 627979.97000000067055225, 204230.36000000033527613 627955.96000000089406967, 204205.9599999999627471 627948.61999999918043613, 204190.05999999959021807 627964.28999999910593033, 204192.08000000007450581 627966.39000000059604645, 204194.7900000000372529 627966.66000000014901161, 204196.34999999962747097 627965.26999999955296516, 204197.04999999981373549 627966, 204208.5 627954.74000000022351742, 204210.12999999988824129 627956.16999999992549419, 204215.70000000018626451 627958.08999999985098839, 204216.82000000029802322 627959.26999999955296516, 204216.46999999973922968 627960.52999999932944775, 204203.12999999988824129 627973.09999999962747097, 204204.04999999981373549 627974.17999999970197678, 204203.13999999966472387 627975.25999999977648258, 204203.25 627977.67999999970197678, 204205.36000000033527613 627979.97000000067055225)))	mieszkalne
MultiPolygon (((204253.13999999966472387 627993.40000000037252903, 204256.87999999988824129 627989.78999999910593033, 204253.16999999992549419 627985.72000000067055225, 204248.61000000033527613 627990.24000000022351742, 204241.87000000011175871 627983.10999999940395355, 204250.34999999962747097 627974.77999999932944775, 204249.61000000033527613 627973.93999999947845936, 204252.67999999970197678 627970.96000000089406967, 204255.15000000037252903 627970.22000000067055225, 204254.28000000026077032 627962.93999999947845936, 204220.34999999962747097 627995.90000000037252903, 204223.92999999970197678 627999.60999999940395355, 204224.86000000033527613 627998.83000000007450581, 204225.91000000014901161 627999.86999999918043613, 204231.45000000018626451 627994.35999999940395355, 204230.99000000022351742 627993.96000000089406967, 204233.57000000029802322 627991.36999999918043613, 204234.87999999988824129 627991.34999999962747097, 204244.82000000029802322 628001.47000000067055225, 204245.54999999981373549 628000.72000000067055225, 204253.13999999966472387 627993.40000000037252903)))	mieszkalne
MultiPolygon (((204281.29999999981373549 627981.60999999940395355, 204283.42999999970197678 627975.46000000089406967, 204280.82000000029802322 627973.98000000044703484, 204263.36000000033527613 627964.13000000081956387, 204260.21999999973922968 627969.94999999925494194, 204260.67999999970197678 627970.19999999925494194, 204281.29999999981373549 627981.60999999940395355)))	mieszkalne
MultiPolygon (((204281.16000000014901161 627991.83999999985098839, 204259.36000000033527613 627979.5, 204256.32000000029802322 627979.84999999962747097, 204257.50999999977648258 627986.07000000029802322, 204277.83000000007450581 627997.41000000014901161, 204279.70000000018626451 627998.46000000089406967, 204281.79999999981373549 627994.74000000022351742, 204281.41999999992549419 627993.09999999962747097, 204280.75999999977648258 627992.63000000081956387, 204281.16000000014901161 627991.83999999985098839)))	mieszkalne
MultiPolygon (((204233.16000000014901161 628058.40000000037252903, 204216.32000000029802322 628041.19999999925494194, 204206.46999999973922968 628050.68999999947845936, 204205.12000000011175871 628052.00999999977648258, 204207.87000000011175871 628054.82000000029802322, 204210.13999999966472387 628054.49000000022351742, 204219.67999999970197678 628064.23000000044703484, 204219.30999999959021807 628066.51999999955296516, 204221.96999999973922968 628069.26999999955296516, 204233.16000000014901161 628058.40000000037252903)))	mieszkalne
MultiPolygon (((204145.5 628165.31000000052154064, 204141.03000000026077032 628162.41999999992549419, 204127.32000000029802322 628153.55000000074505806, 204127.16999999992549419 628153.75, 204118.62000000011175871 628164.02999999932944775, 204130.44000000040978193 628171.27999999932944775, 204131.92999999970197678 628172.19999999925494194, 204130.61000000033527613 628174.39000000059604645, 204134.86000000033527613 628176.91999999992549419, 204136.17999999970197678 628174.77999999932944775, 204139.26999999955296516 628176.75999999977648258, 204146.2099999999627471 628165.66999999992549419, 204146.32000000029802322 628165.46000000089406967, 204145.69000000040978193 628165.08000000007450581, 204145.5 628165.31000000052154064)))	mieszkalne
MultiPolygon (((204277.83999999985098839 627947.17999999970197678, 204274.38999999966472387 627922.32000000029802322, 204273.91000000014901161 627918.84999999962747097, 204269.32000000029802322 627919.60999999940395355, 204266.79999999981373549 627921.94999999925494194, 204268.01999999955296516 627931.59999999962747097, 204269.78000000026077032 627931.38000000081956387, 204269.98000000044703484 627932.60999999940395355, 204271.11000000033527613 627933.03999999910593033, 204271.25 627934.58999999985098839, 204258.48000000044703484 627936.30000000074505806, 204258 627932.89000000059604645, 204259.28000000026077032 627932.68999999947845936, 204257.90000000037252903 627922.84999999962747097, 204256.92999999970197678 627922.97000000067055225, 204254.49000000022351742 627921.64000000059604645, 204250.28000000026077032 627921.88000000081956387, 204252.08000000007450581 627935.22000000067055225, 204253.53000000026077032 627945.96000000089406967, 204263.5400000000372529 627944.67999999970197678, 204265 627955.42999999970197678, 204271.75 627950.89000000059604645, 204277.83999999985098839 627947.17999999970197678)))	mieszkalne
MultiPolygon (((204187.75999999977648258 627942.99000000022351742, 204186.2900000000372529 627932.76999999955296516, 204185.76999999955296516 627932.77999999932944775, 204185.71999999973922968 627931.94999999925494194, 204183.46999999973922968 627930.77999999932944775, 204178.7900000000372529 627931.40000000037252903, 204178.83999999985098839 627931.72000000067055225, 204180.07000000029802322 627940.58000000007450581, 204185.73000000044703484 627942.41999999992549419, 204187.75999999977648258 627942.99000000022351742)))	mieszkalne
MultiPolygon (((204313.80999999959021807 627935.26999999955296516, 204307.37000000011175871 627931.81000000052154064, 204305.70000000018626451 627929.86999999918043613, 204305.37000000011175871 627930.11999999918043613, 204297.98000000044703484 627933.83999999985098839, 204311.67999999970197678 627940.63000000081956387, 204313.98000000044703484 627936.48000000044703484, 204313.80999999959021807 627935.26999999955296516)))	mieszkalne
MultiPolygon (((204295.15000000037252903 627956.67999999970197678, 204277.83999999985098839 627947.17999999970197678, 204271.75 627950.89000000059604645, 204292.05999999959021807 627962.17999999970197678, 204295.15000000037252903 627956.67999999970197678)))	mieszkalne
MultiPolygon (((204205.9599999999627471 627948.61999999918043613, 204203.54999999981373549 627933.80000000074505806, 204203.05999999959021807 627930.83000000007450581, 204196.61000000033527613 627931.55000000074505806, 204196.0400000000372529 627931.65000000037252903, 204197.65000000037252903 627943.19999999925494194, 204197.04999999981373549 627945.85999999940395355, 204205.9599999999627471 627948.61999999918043613)))	mieszkalne
MultiPolygon (((204253.53000000026077032 627945.96000000089406967, 204252.08000000007450581 627935.22000000067055225, 204234.58000000007450581 627937.67999999970197678, 204233.19000000040978193 627929.22000000067055225, 204227.07000000029802322 627930.19999999925494194, 204230.36000000033527613 627955.96000000089406967, 204236.75 627957.71000000089406967, 204237.2900000000372529 627957.85999999940395355, 204236.29999999981373549 627950.92999999970197678, 204234.65000000037252903 627949.84999999962747097, 204235.90000000037252903 627948.33999999985098839, 204238.70000000018626451 627947.96000000089406967, 204238.86000000033527613 627947.39000000059604645, 204242.53000000026077032 627946.90000000037252903, 204242.99000000022351742 627947.55000000074505806, 204253.53000000026077032 627945.96000000089406967)))	mieszkalne
MultiPolygon (((204230.36000000033527613 627955.96000000089406967, 204227.07000000029802322 627930.19999999925494194, 204221.20000000018626451 627931.32000000029802322, 204220.30999999959021807 627931.47000000067055225, 204222.24000000022351742 627945.06000000052154064, 204218.67999999970197678 627945.53999999910593033, 204218.58000000007450581 627944.97000000067055225, 204218.08000000007450581 627945.02999999932944775, 204212.29999999981373549 627943.42999999970197678, 204211.08999999985098839 627942.08000000007450581, 204209.63999999966472387 627933.24000000022351742, 204203.54999999981373549 627933.80000000074505806, 204205.9599999999627471 627948.61999999918043613, 204230.36000000033527613 627955.96000000089406967)))	mieszkalne
MultiPolygon (((204255.67999999970197678 627961.72000000067055225, 204253.92999999970197678 627948.92999999970197678, 204247.78000000026077032 627949.84999999962747097, 204246.25 627951.89000000059604645, 204247.61000000033527613 627960.93999999947845936, 204254.28000000026077032 627962.93999999947845936, 204255.67999999970197678 627961.72000000067055225)))	mieszkalne
MultiPolygon (((204297.09999999962747097 627927.16000000014901161, 204295.83000000007450581 627917.46000000089406967, 204291.44000000040978193 627918.21000000089406967, 204289.37000000011175871 627918.58999999985098839, 204292.17999999970197678 627937.66999999992549419, 204297.98000000044703484 627933.83999999985098839, 204297.09999999962747097 627927.16000000014901161)))	mieszkalne
MultiPolygon (((204252.98000000044703484 628078.65000000037252903, 204233.16000000014901161 628058.40000000037252903, 204221.96999999973922968 628069.26999999955296516, 204224.41000000014901161 628071.80000000074505806, 204226.37000000011175871 628071.80000000074505806, 204228.75 628074.14000000059604645, 204228.58000000007450581 628074.31000000052154064, 204232.45000000018626451 628078.15000000037252903, 204232.62999999988824129 628077.97000000067055225, 204235.54999999981373549 628080.84999999962747097, 204227.19000000040978193 628095.85999999940395355, 204225.46999999973922968 628096.30000000074505806, 204223.53000000026077032 628101.01999999955296516, 204236.38999999966472387 628108.09999999962747097, 204239.03000000026077032 628103.42999999970197678, 204241.21999999973922968 628104.66000000014901161, 204244.0400000000372529 628099.60999999940395355, 204241.83000000007450581 628098.38000000081956387, 204246.83999999985098839 628089.42999999970197678, 204249.08000000007450581 628090.66999999992549419, 204252 628085.42999999970197678, 204249.71999999973922968 628084.38000000081956387, 204252.98000000044703484 628078.65000000037252903)))	mieszkalne
MultiPolygon (((204283.53000000026077032 627940.13000000081956387, 204280.95000000018626451 627921.43999999947845936, 204279.71999999973922968 627921.59999999962747097, 204274.38999999966472387 627922.32000000029802322, 204277.83999999985098839 627947.17999999970197678, 204285.00999999977648258 627942.41999999992549419, 204283.53000000026077032 627940.13000000081956387)))	mieszkalne
MultiPolygon (((204084.92999999970197678 628083.74000000022351742, 204088.57000000029802322 628071.15000000037252903, 204090.21999999973922968 628071.58000000007450581, 204091.73000000044703484 628066.57000000029802322, 204091.08000000007450581 628066.35999999940395355, 204090.0400000000372529 628066.05000000074505806, 204077.04999999981373549 628062.21000000089406967, 204075.73000000044703484 628066.68999999947845936, 204073.80999999959021807 628066.13000000081956387, 204072.73000000044703484 628069.85999999940395355, 204074.66000000014901161 628070.38000000081956387, 204072.82000000029802322 628076.61999999918043613, 204070.94000000040978193 628076.05000000074505806, 204069.79999999981373549 628079.75999999977648258, 204071.73000000044703484 628080.33999999985098839, 204070.41999999992549419 628084.77999999932944775, 204083.46999999973922968 628088.75999999977648258, 204084.92999999970197678 628083.74000000022351742)))	mieszkalne
MultiPolygon (((204224.48000000044703484 628129.43999999947845936, 204227.50999999977648258 628123.94999999925494194, 204214.87999999988824129 628116.77999999932944775, 204213.5400000000372529 628119.25999999977648258, 204213.98000000044703484 628120.96000000089406967, 204209.16000000014901161 628129.56000000052154064, 204207.71999999973922968 628129.75, 204206.15000000037252903 628132.50999999977648258, 204218.69000000040978193 628139.64000000059604645, 204221.87999999988824129 628134.09999999962747097, 204223.50999999977648258 628135.00999999977648258, 204226.08000000007450581 628130.33000000007450581, 204224.48000000044703484 628129.43999999947845936)))	mieszkalne
MultiPolygon (((204250.99000000022351742 627766.67999999970197678, 204234.41000000014901161 627753.86999999918043613, 204227.09999999962747097 627763.36999999918043613, 204226.50999999977648258 627764.08999999985098839, 204243 627776.99000000022351742, 204250.99000000022351742 627766.67999999970197678)))	mieszkalne
MultiPolygon (((204431.58000000007450581 628140.83999999985098839, 204444.17999999970197678 628138.52999999932944775, 204441.21999999973922968 628122.66000000014901161, 204438.83000000007450581 628120.57000000029802322, 204412.96999999973922968 628117.33999999985098839, 204411.33000000007450581 628130.72000000067055225, 204414.98000000044703484 628130.46000000089406967, 204426.09999999962747097 628131.84999999962747097, 204425.98000000044703484 628130.56000000052154064, 204428.08000000007450581 628131.06000000052154064, 204428.7099999999627471 628130.32000000029802322, 204429.74000000022351742 628131.16999999992549419, 204430.45000000018626451 628137.75, 204429.79999999981373549 628139.22000000067055225, 204430.00999999977648258 628141.13000000081956387, 204431.58000000007450581 628140.83999999985098839)))	mieszkalne
MultiPolygon (((204283.80999999959021807 628165.83000000007450581, 204290.16999999992549419 628154.30000000074505806, 204293.20000000018626451 628153.75999999977648258, 204294.90000000037252903 628150.52999999932944775, 204281.01999999955296516 628142.84999999962747097, 204278.66000000014901161 628147.13000000081956387, 204276.87000000011175871 628146.11999999918043613, 204274.91999999992549419 628149.72000000067055225, 204276.66999999992549419 628150.68999999947845936, 204273.76999999955296516 628155.97000000067055225, 204272 628154.99000000022351742, 204270.01999999955296516 628158.57000000029802322, 204271.76999999955296516 628159.53999999910593033, 204269.33999999985098839 628163.93999999947845936, 204282.28000000026077032 628171.11999999918043613, 204283.19000000040978193 628171.63000000081956387, 204285.15000000037252903 628168.25999999977648258, 204283.80999999959021807 628165.83000000007450581)))	mieszkalne
MultiPolygon (((204267.67999999970197678 627779.60999999940395355, 204250.99000000022351742 627766.67999999970197678, 204243 627776.99000000022351742, 204242.0400000000372529 627778.23000000044703484, 204246.4599999999627471 627781.68999999947845936, 204247.15000000037252903 627780.78999999910593033, 204254.90000000037252903 627786.96000000089406967, 204254.2900000000372529 627787.75, 204258.7099999999627471 627791.18999999947845936, 204267.67999999970197678 627779.60999999940395355)))	mieszkalne
MultiPolygon (((204447.19000000040978193 628154.30000000074505806, 204444.17999999970197678 628138.52999999932944775, 204431.58000000007450581 628140.83999999985098839, 204434.04999999981373549 628152.48000000044703484, 204432.80999999959021807 628153.15000000037252903, 204433.34999999962747097 628157, 204434.62999999988824129 628156.76999999955296516, 204436.33000000007450581 628156.48000000044703484, 204447.19000000040978193 628154.30000000074505806)))	mieszkalne
MultiPolygon (((204642.7900000000372529 628153.01999999955296516, 204642.48000000044703484 628152.60999999940395355, 204642.25999999977648258 628152.78999999910593033, 204638.98000000044703484 628148.58999999985098839, 204638.12999999988824129 628149.21000000089406967, 204629.41999999992549419 628138.08999999985098839, 204630.23000000044703484 628137.44999999925494194, 204627.78000000026077032 628134.32000000029802322, 204626.99000000022351742 628134.93999999947845936, 204618.37000000011175871 628123.94999999925494194, 204619.16999999992549419 628123.32000000029802322, 204616.66999999992549419 628120.15000000037252903, 204615.87000000011175871 628120.76999999955296516, 204611.65000000037252903 628115.41000000014901161, 204612.46999999973922968 628114.76999999955296516, 204610.41999999992549419 628112.15000000037252903, 204610.63999999966472387 628111.98000000044703484, 204610.32000000029802322 628111.57000000029802322, 204597.7099999999627471 628121.56000000052154064, 204603.62000000011175871 628128.96000000089406967, 204602.48000000044703484 628129.86999999918043613, 204604.09999999962747097 628131.88000000081956387, 204605.26999999955296516 628130.96000000089406967, 204612.55999999959021807 628140.31000000052154064, 204611.40000000037252903 628141.22000000067055225, 204613.01999999955296516 628143.27999999932944775, 204613.26999999955296516 628143.08000000007450581, 204620.53000000026077032 628152.35999999940395355, 204620.28000000026077032 628152.56000000052154064, 204621.84999999962747097 628154.56000000052154064, 204623.07000000029802322 628153.67999999970197678, 204629.98000000044703484 628162.96000000089406967, 204642.7900000000372529 628153.01999999955296516)))	mieszkalne
MultiPolygon (((204173.5400000000372529 627756.10999999940395355, 204175.15000000037252903 627750.68999999947845936, 204180.12000000011175871 627734.00999999977648258, 204178.87999999988824129 627733.58999999985098839, 204179.63999999966472387 627730.88000000081956387, 204181.34999999962747097 627730.02999999932944775, 204184.78000000026077032 627732.65000000037252903, 204184.48000000044703484 627733.05000000074505806, 204194.13999999966472387 627740.46000000089406967, 204194.48000000044703484 627740.08000000007450581, 204202.69000000040978193 627729.33000000007450581, 204183.9599999999627471 627714.74000000022351742, 204180.03000000026077032 627716.05000000074505806, 204179.37999999988824129 627713.83999999985098839, 204173.17999999970197678 627715.66000000014901161, 204173.82000000029802322 627717.86999999918043613, 204169.92999999970197678 627718.77999999932944775, 204160.16999999992549419 627752.00999999977648258, 204173.5400000000372529 627756.10999999940395355)))	mieszkalne
MultiPolygon (((204168.33000000007450581 627771.50999999977648258, 204171.75 627759.34999999962747097, 204173.94000000040978193 627758.19999999925494194, 204174.5 627756.31000000052154064, 204173.5400000000372529 627756.10999999940395355, 204160.16999999992549419 627752.00999999977648258, 204154.23000000044703484 627772.18999999947845936, 204166.76999999955296516 627775.91999999992549419, 204168.88999999966472387 627776.55000000074505806, 204171.12000000011175871 627777.21000000089406967, 204172.05999999959021807 627777.49000000022351742, 204173.33000000007450581 627772.58999999985098839, 204171.26999999955296516 627771.97000000067055225, 204169.12000000011175871 627773.11999999918043613, 204168.33000000007450581 627771.50999999977648258)))	mieszkalne
MultiPolygon (((204305.2099999999627471 628183.58999999985098839, 204286.5 628173.42999999970197678, 204283.7099999999627471 628178.63000000081956387, 204283.48000000044703484 628179.02999999932944775, 204299.59999999962747097 628188.00999999977648258, 204301.30999999959021807 628190.55000000074505806, 204305.2099999999627471 628183.58999999985098839)))	mieszkalne
MultiPolygon (((204293.45000000018626451 628197.43999999947845936, 204276.08999999985098839 628187.51999999955296516, 204275.74000000022351742 628188.10999999940395355, 204274.41999999992549419 628187.39000000059604645, 204272.9599999999627471 628187.71000000089406967, 204270.66000000014901161 628192.03999999910593033, 204288.08000000007450581 628201.90000000037252903, 204293.45000000018626451 628197.43999999947845936)))	mieszkalne
